solar,wind,transmission peak load ratio
0.1,0.1,0.633
0.1,0.3,0.77
0.1,0.4,0.847
0.1,0.5,0.925
0.1,0.6,0.979
0.1,0.7,1.034
0.1,0.9,1.13
0.3,0.1,0.747
0.3,0.3,0.925
0.3,0.4,1.016
0.3,0.5,1.09
0.3,0.6,1.137
0.3,0.7,1.201
0.3,0.9,1.3
0.4,0.1,0.817
0.4,0.3,1.012
0.4,0.4,1.153
0.4,0.5,1.215
0.4,0.6,1.24
0.4,0.7,1.304
0.4,0.9,1.3
0.5,0.1,0.874
0.5,0.3,1.137
0.5,0.4,1.265
0.5,0.5,1.362
0.5,0.6,1.389
0.5,0.7,1.34
0.6,0.1,0.973
0.6,0.3,1.291
0.6,0.4,1.441
0.6,0.5,1.513
0.6,0.6,1.409
0.6,0.7,1.308
0.7,0.1,1.068
0.7,0.3,1.474
0.7,0.4,1.623
0.7,0.5,1.514
0.7,0.6,1.387
0.9,0.1,1.296
0.9,0.3,1.76
0.9,0.4,1.548
