solar,wind,wind absolute curt
0.1,0.1,989349.8
0.1,0.3,24620194.7
0.1,0.4,54486669.5
0.1,0.5,98791940.8
0.1,0.6,168087135.1
0.1,0.7,275335272.9
0.1,0.9,587819770.7
0.3,0.1,7342859.7
0.3,0.3,38372315.0
0.3,0.4,74593797.4
0.3,0.5,134314974.1
0.3,0.6,231824156.9
0.3,0.7,374183695.0
0.3,0.9,775233292.6
0.4,0.1,8581578.6
0.4,0.3,47305057.7
0.4,0.4,84434863.1
0.4,0.5,155681203.1
0.4,0.6,276839411.7
0.4,0.7,439349591.5
0.4,0.9,927122447.3
0.5,0.1,10286026.0
0.5,0.3,51683590.1
0.5,0.4,95721939.4
0.5,0.5,183906118.6
0.5,0.6,312216611.8
0.5,0.7,532244924.7
0.6,0.1,11707379.6
0.6,0.3,57228341.9
0.6,0.4,120992608.3
0.6,0.5,218985883.5
0.6,0.6,410628200.7
0.6,0.7,635212134.0
0.7,0.1,11103857.4
0.7,0.3,70958816.5
0.7,0.4,150356320.3
0.7,0.5,274823207.1
0.7,0.6,476428155.3
0.9,0.1,15427938.0
0.9,0.3,106922165.4
0.9,0.4,215915419.2
