solar,wind,DK wind cap
0.1,0.1,15.8
0.1,0.3,35.7
0.1,0.4,63.0
0.1,0.5,73.4
0.1,0.6,73.4
0.1,0.7,73.4
0.1,0.9,73.4
0.3,0.1,17.4
0.3,0.3,39.8
0.3,0.4,62.7
0.3,0.5,73.4
0.3,0.6,73.4
0.3,0.7,73.4
0.3,0.9,73.4
0.4,0.1,18.0
0.4,0.3,41.1
0.4,0.4,62.7
0.4,0.5,73.4
0.4,0.6,73.4
0.4,0.7,73.4
0.4,0.9,73.4
0.5,0.1,18.2
0.5,0.3,41.5
0.5,0.4,62.8
0.5,0.5,73.4
0.5,0.6,73.4
0.5,0.7,73.4
0.6,0.1,18.5
0.6,0.3,42.6
0.6,0.4,62.7
0.6,0.5,73.4
0.6,0.6,73.4
0.6,0.7,73.4
0.7,0.1,18.4
0.7,0.3,42.7
0.7,0.4,61.8
0.7,0.5,73.4
0.7,0.6,73.4
0.9,0.1,18.6
0.9,0.3,43.9
0.9,0.4,61.7
