solar,wind,ES wind cap
0.1,0.1,23.1
0.1,0.3,77.0
0.1,0.4,74.1
0.1,0.5,68.1
0.1,0.6,64.5
0.1,0.7,64.3
0.1,0.9,74.0
0.3,0.1,13.9
0.3,0.3,59.4
0.3,0.4,66.1
0.3,0.5,55.7
0.3,0.6,49.6
0.3,0.7,51.7
0.3,0.9,67.8
0.4,0.1,8.2
0.4,0.3,51.4
0.4,0.4,63.8
0.4,0.5,51.0
0.4,0.6,38.7
0.4,0.7,42.9
0.4,0.9,56.9
0.5,0.1,5.5
0.5,0.3,43.1
0.5,0.4,62.3
0.5,0.5,49.7
0.5,0.6,31.9
0.5,0.7,37.8
0.6,0.1,5.0
0.6,0.3,40.5
0.6,0.4,61.2
0.6,0.5,49.9
0.6,0.6,30.0
0.6,0.7,32.1
0.7,0.1,3.4
0.7,0.3,39.8
0.7,0.4,59.5
0.7,0.5,49.9
0.7,0.6,30.1
0.9,0.1,1.4
0.9,0.3,36.0
0.9,0.4,58.3
