solar,wind,SDES absolute dispatch
0.1,0.1,3773.6
0.1,0.3,3892.6
0.1,0.4,3389.2
0.1,0.5,2678.3
0.1,0.6,2921.4
0.1,0.7,2627.9
0.1,0.9,2982.3
0.3,0.1,4173.9
0.3,0.3,3665.5
0.3,0.4,3745.2
0.3,0.5,3185.6
0.3,0.6,2672.3
0.3,0.7,3272.4
0.3,0.9,4122.2
0.4,0.1,3631.4
0.4,0.3,3282.4
0.4,0.4,3066.3
0.4,0.5,2690.5
0.4,0.6,3729.2
0.4,0.7,3530.5
0.4,0.9,3498.8
0.5,0.1,3811.3
0.5,0.3,3249.8
0.5,0.4,3443.8
0.5,0.5,3547.8
0.5,0.6,3733.3
0.5,0.7,3753.9
0.6,0.1,4390.4
0.6,0.3,3974.2
0.6,0.4,4081.9
0.6,0.5,3780.6
0.6,0.6,3894.1
0.6,0.7,3198.3
0.7,0.1,3687.2
0.7,0.3,4079.2
0.7,0.4,3414.2
0.7,0.5,5014.0
0.7,0.6,3499.9
0.9,0.1,4249.4
0.9,0.3,4325.0
0.9,0.4,3587.5
