solar,wind,VRE curt
0.1,0.1,0.1
0.1,0.3,1.0
0.1,0.4,1.8
0.1,0.5,3.5
0.1,0.6,5.9
0.1,0.7,9.6
0.1,0.9,19.9
0.3,0.1,7.9
0.3,0.3,9.0
0.3,0.4,10.4
0.3,0.5,13.2
0.3,0.6,16.8
0.3,0.7,21.5
0.3,0.9,33.6
0.4,0.1,15.4
0.4,0.3,17.1
0.4,0.4,18.9
0.4,0.5,21.8
0.4,0.6,25.7
0.4,0.7,30.6
0.4,0.9,43.0
0.5,0.1,23.9
0.5,0.3,26.2
0.5,0.4,28.1
0.5,0.5,31.1
0.5,0.6,35.1
0.5,0.7,40.1
0.6,0.1,32.9
0.6,0.3,35.6
0.6,0.4,37.7
0.6,0.5,40.6
0.6,0.6,44.7
0.6,0.7,49.7
0.7,0.1,42.3
0.7,0.3,45.2
0.7,0.4,47.3
0.7,0.5,50.4
0.7,0.6,54.5
0.9,0.1,60.9
0.9,0.3,64.1
0.9,0.4,66.4
