solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,39.1
0.1,0.4,48.2
0.1,0.5,56.5
0.1,0.6,64.1
0.1,0.7,70.5
0.1,0.9,80.1
0.3,0.1,32.0
0.3,0.3,51.0
0.3,0.4,59.6
0.3,0.5,66.8
0.3,0.6,73.2
0.3,0.7,78.6
0.3,0.9,86.4
0.4,0.1,34.6
0.4,0.3,53.0
0.4,0.4,61.1
0.4,0.5,68.2
0.4,0.6,74.3
0.4,0.7,79.4
0.4,0.9,87.0
0.5,0.1,36.1
0.5,0.3,53.9
0.5,0.4,61.9
0.5,0.5,68.9
0.5,0.6,74.9
0.5,0.7,79.9
0.6,0.1,37.1
0.6,0.3,54.5
0.6,0.4,62.3
0.6,0.5,69.4
0.6,0.6,75.2
0.6,0.7,80.2
0.7,0.1,37.7
0.7,0.3,54.8
0.7,0.4,62.7
0.7,0.5,69.6
0.7,0.6,75.4
0.9,0.1,39.1
0.9,0.3,56.0
0.9,0.4,63.6
