solar,wind,backup capacity factor low
0.1,0.1,2.62
0.1,0.3,2.55
0.1,0.4,2.28
0.1,0.5,2.09
0.1,0.6,1.93
0.1,0.7,1.78
0.1,0.9,1.57
0.3,0.1,2.36
0.3,0.3,2.23
0.3,0.4,2.09
0.3,0.5,1.88
0.3,0.6,1.69
0.3,0.7,1.53
0.3,0.9,1.36
0.4,0.1,2.28
0.4,0.3,2.15
0.4,0.4,2.01
0.4,0.5,1.84
0.4,0.6,1.66
0.4,0.7,1.53
0.4,0.9,1.35
0.5,0.1,2.25
0.5,0.3,2.09
0.5,0.4,1.97
0.5,0.5,1.79
0.5,0.6,1.64
0.5,0.7,1.5
0.6,0.1,2.23
0.6,0.3,2.05
0.6,0.4,1.94
0.6,0.5,1.8
0.6,0.6,1.64
0.6,0.7,1.51
0.7,0.1,2.17
0.7,0.3,2.03
0.7,0.4,1.93
0.7,0.5,1.79
0.7,0.6,1.63
0.9,0.1,2.12
0.9,0.3,1.99
0.9,0.4,1.9
