solar,wind,solar curt
0.1,0.1,0.4
0.1,0.3,0.0
0.1,0.4,0.1
0.1,0.5,0.1
0.1,0.6,0.1
0.1,0.7,0.1
0.1,0.9,0.1
0.3,0.1,25.5
0.3,0.3,21.9
0.3,0.4,22.2
0.3,0.5,24.0
0.3,0.6,24.6
0.3,0.7,25.7
0.3,0.9,26.4
0.4,0.1,37.7
0.4,0.3,36.0
0.4,0.4,37.2
0.4,0.5,38.6
0.4,0.6,40.3
0.4,0.7,40.7
0.4,0.9,41.7
0.5,0.1,47.3
0.5,0.3,47.1
0.5,0.4,48.0
0.5,0.5,49.4
0.5,0.6,51.0
0.5,0.7,51.5
0.6,0.1,54.4
0.6,0.3,54.9
0.6,0.4,56.0
0.6,0.5,57.2
0.6,0.6,58.6
0.6,0.7,59.5
0.7,0.1,60.1
0.7,0.3,60.8
0.7,0.4,61.9
0.7,0.5,63.0
0.7,0.6,64.2
0.9,0.1,67.4
0.9,0.3,68.1
0.9,0.4,69.1
