solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,22.3
0.3,0.3,23.4
0.3,0.4,23.3
0.3,0.5,22.8
0.3,0.6,22.6
0.3,0.7,22.3
0.3,0.9,22.1
0.4,0.1,24.9
0.4,0.3,25.6
0.4,0.4,25.1
0.4,0.5,24.6
0.4,0.6,23.9
0.4,0.7,23.7
0.4,0.9,23.3
0.5,0.1,26.4
0.5,0.3,26.5
0.5,0.4,26.0
0.5,0.5,25.3
0.5,0.6,24.5
0.5,0.7,24.2
0.6,0.1,27.4
0.6,0.3,27.1
0.6,0.4,26.4
0.6,0.5,25.7
0.6,0.6,24.8
0.6,0.7,24.3
0.7,0.1,27.9
0.7,0.3,27.4
0.7,0.4,26.7
0.7,0.5,25.9
0.7,0.6,25.0
0.9,0.1,29.3
0.9,0.3,28.7
0.9,0.4,27.8
