solar,wind,transmission peak load ratio
0.1,0.1,0.655
0.1,0.3,0.781
0.1,0.4,0.863
0.1,0.5,0.926
0.1,0.6,0.981
0.1,0.7,1.04
0.1,0.9,1.179
0.3,0.1,0.711
0.3,0.3,0.836
0.3,0.4,0.928
0.3,0.5,1.028
0.3,0.6,1.081
0.3,0.7,1.145
0.3,0.9,1.283
0.4,0.1,0.729
0.4,0.3,0.863
0.4,0.4,0.963
0.4,0.5,1.056
0.4,0.6,1.113
0.4,0.7,1.177
0.4,0.9,1.312
0.5,0.1,0.747
0.5,0.3,0.892
0.5,0.4,0.996
0.5,0.5,1.087
0.5,0.6,1.15
0.5,0.7,1.215
0.6,0.1,0.773
0.6,0.3,0.916
0.6,0.4,1.017
0.6,0.5,1.121
0.6,0.6,1.179
0.6,0.7,1.241
0.7,0.1,0.8
0.7,0.3,0.94
0.7,0.4,1.041
0.7,0.5,1.135
0.7,0.6,1.198
0.9,0.1,0.849
0.9,0.3,1.004
0.9,0.4,1.093
