solar,wind,wind curt
0.1,0.1,0.4
0.1,0.3,3.2
0.1,0.4,4.6
0.1,0.5,7.0
0.1,0.6,9.8
0.1,0.7,13.6
0.1,0.9,22.1
0.3,0.1,2.5
0.3,0.3,8.0
0.3,0.4,9.3
0.3,0.5,12.0
0.3,0.6,15.6
0.3,0.7,19.6
0.3,0.9,28.6
0.4,0.1,2.5
0.4,0.3,8.8
0.4,0.4,10.1
0.4,0.5,12.7
0.4,0.6,15.9
0.4,0.7,20.4
0.4,0.9,29.3
0.5,0.1,2.5
0.5,0.3,8.8
0.5,0.4,10.3
0.5,0.5,12.8
0.5,0.6,16.1
0.5,0.7,20.4
0.6,0.1,2.7
0.6,0.3,8.8
0.6,0.4,10.1
0.6,0.5,12.6
0.6,0.6,16.0
0.6,0.7,20.1
0.7,0.1,2.2
0.7,0.3,8.7
0.7,0.4,9.9
0.7,0.5,12.5
0.7,0.6,15.9
0.9,0.1,2.2
0.9,0.3,9.1
0.9,0.4,10.5
