solar,wind,DK solar cap
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.0
0.3,0.1,4.0
0.3,0.3,4.0
0.3,0.4,4.0
0.3,0.5,4.0
0.3,0.6,1.4
0.3,0.7,1.5
0.3,0.9,1.5
0.4,0.1,6.3
0.4,0.3,4.1
0.4,0.4,4.0
0.4,0.5,4.2
0.4,0.6,2.2
0.4,0.7,1.5
0.4,0.9,1.9
0.5,0.1,7.2
0.5,0.3,4.0
0.5,0.4,4.0
0.5,0.5,4.2
0.5,0.6,3.5
0.5,0.7,1.6
0.6,0.1,6.9
0.6,0.3,5.1
0.6,0.4,4.9
0.6,0.5,4.1
0.6,0.6,3.5
0.6,0.7,1.6
0.7,0.1,7.1
0.7,0.3,5.3
0.7,0.4,4.6
0.7,0.5,4.0
0.7,0.6,3.8
0.9,0.1,7.9
0.9,0.3,4.4
0.9,0.4,4.2
