solar,wind,ES solar cap
0.1,0.1,80.1
0.1,0.3,78.0
0.1,0.4,73.4
0.1,0.5,74.2
0.1,0.6,64.9
0.1,0.7,55.0
0.1,0.9,50.7
0.3,0.1,134.7
0.3,0.3,154.8
0.3,0.4,161.5
0.3,0.5,167.3
0.3,0.6,188.6
0.3,0.7,192.3
0.3,0.9,197.4
0.4,0.1,205.6
0.4,0.3,241.0
0.4,0.4,271.7
0.4,0.5,316.6
0.4,0.6,338.5
0.4,0.7,351.7
0.4,0.9,375.3
0.5,0.1,334.2
0.5,0.3,376.2
0.5,0.4,441.3
0.5,0.5,523.1
0.5,0.6,548.9
0.5,0.7,572.3
0.6,0.1,531.7
0.6,0.3,605.8
0.6,0.4,683.3
0.6,0.5,777.6
0.6,0.6,804.1
0.6,0.7,827.3
0.7,0.1,776.5
0.7,0.3,893.8
0.7,0.4,970.2
0.7,0.5,1041.9
0.7,0.6,1067.7
0.9,0.1,1125.1
0.9,0.3,1131.5
0.9,0.4,1131.5
