solar,wind,ES wind cap
0.1,0.1,0.8
0.1,0.3,0.9
0.1,0.4,28.7
0.1,0.5,23.0
0.1,0.6,45.4
0.1,0.7,58.3
0.1,0.9,71.2
0.3,0.1,0.8
0.3,0.3,0.0
0.3,0.4,0.9
0.3,0.5,17.2
0.3,0.6,4.1
0.3,0.7,1.6
0.3,0.9,38.7
0.4,0.1,0.8
0.4,0.3,0.0
0.4,0.4,0.8
0.4,0.5,1.3
0.4,0.6,1.4
0.4,0.7,1.5
0.4,0.9,27.4
0.5,0.1,0.7
0.5,0.3,0.0
0.5,0.4,0.5
0.5,0.5,1.1
0.5,0.6,1.4
0.5,0.7,1.5
0.6,0.1,0.4
0.6,0.3,0.1
0.6,0.4,0.6
0.6,0.5,1.0
0.6,0.6,1.3
0.6,0.7,1.4
0.7,0.1,0.4
0.7,0.3,0.2
0.7,0.4,0.4
0.7,0.5,1.0
0.7,0.6,1.2
0.9,0.1,0.3
0.9,0.3,0.0
0.9,0.4,0.1
