solar,wind,VRE curt
0.1,0.1,0.0
0.1,0.3,4.9
0.1,0.4,6.9
0.1,0.5,12.3
0.1,0.6,17.6
0.1,0.7,23.2
0.1,0.9,32.4
0.3,0.1,7.8
0.3,0.3,11.6
0.3,0.4,14.7
0.3,0.5,19.6
0.3,0.6,25.2
0.3,0.7,30.5
0.3,0.9,37.3
0.4,0.1,17.4
0.4,0.3,19.6
0.4,0.4,22.7
0.4,0.5,26.6
0.4,0.6,31.7
0.4,0.7,36.6
0.4,0.9,42.8
0.5,0.1,26.5
0.5,0.3,26.9
0.5,0.4,28.9
0.5,0.5,31.9
0.5,0.6,36.4
0.5,0.7,41.3
0.6,0.1,34.8
0.6,0.3,31.4
0.6,0.4,32.2
0.6,0.5,36.2
0.6,0.6,40.3
0.6,0.7,44.6
0.7,0.1,41.1
0.7,0.3,35.1
0.7,0.4,35.6
0.7,0.5,39.3
0.7,0.6,43.1
0.9,0.1,48.9
0.9,0.3,42.8
0.9,0.4,41.7
