solar,wind,backup capacity factor low
0.1,0.1,11.48
0.1,0.3,11.23
0.1,0.4,11.6
0.1,0.5,11.94
0.1,0.6,11.66
0.1,0.7,11.38
0.1,0.9,11.22
0.3,0.1,11.54
0.3,0.3,10.7
0.3,0.4,10.94
0.3,0.5,10.76
0.3,0.6,10.66
0.3,0.7,10.65
0.3,0.9,10.62
0.4,0.1,11.62
0.4,0.3,10.65
0.4,0.4,10.89
0.4,0.5,10.8
0.4,0.6,10.62
0.4,0.7,10.56
0.4,0.9,10.61
0.5,0.1,11.59
0.5,0.3,10.64
0.5,0.4,10.85
0.5,0.5,10.77
0.5,0.6,10.62
0.5,0.7,10.55
0.6,0.1,11.54
0.6,0.3,10.66
0.6,0.4,10.93
0.6,0.5,10.76
0.6,0.6,10.63
0.6,0.7,10.53
0.7,0.1,11.51
0.7,0.3,10.68
0.7,0.4,10.9
0.7,0.5,10.74
0.7,0.6,10.63
0.9,0.1,11.5
0.9,0.3,10.65
0.9,0.4,10.79
