solar,wind,solar absolute curt
0.1,0.1,162.3
0.1,0.3,778858.6
0.1,0.4,458324.4
0.1,0.5,577331.6
0.1,0.6,703047.4
0.1,0.7,803521.7
0.1,0.9,1262857.8
0.3,0.1,114688444.5
0.3,0.3,161637072.1
0.3,0.4,190575538.7
0.3,0.5,193456775.3
0.3,0.6,232871752.1
0.3,0.7,262287484.8
0.3,0.9,297038409.0
0.4,0.1,345629328.0
0.4,0.3,444359413.7
0.4,0.4,478013483.8
0.4,0.5,550647127.6
0.4,0.6,560044419.3
0.4,0.7,579650851.4
0.4,0.9,674519916.2
0.5,0.1,682069351.3
0.5,0.3,789560201.5
0.5,0.4,849324618.3
0.5,0.5,928845389.9
0.5,0.6,970017085.5
0.5,0.7,974752768.7
0.6,0.1,1055666601.1
0.6,0.3,1224916253.3
0.6,0.4,1308327841.7
0.6,0.5,1318439048.6
0.6,0.6,1353474530.8
0.6,0.7,1387264752.1
0.7,0.1,1460874984.6
0.7,0.3,1643921084.4
0.7,0.4,1717061352.9
0.7,0.5,1727885382.2
0.7,0.6,1766328493.7
0.9,0.1,2293902401.7
0.9,0.3,2396952079.9
0.9,0.4,2475807074.8
