solar,wind,solar cap
0.1,0.1,327.2
0.1,0.3,324.2
0.1,0.4,325.5
0.1,0.5,325.6
0.1,0.6,326.4
0.1,0.7,327.6
0.1,0.9,328.6
0.3,0.1,1102.9
0.3,0.3,1079.6
0.3,0.4,1072.7
0.3,0.5,1067.5
0.3,0.6,1057.6
0.3,0.7,1050.7
0.3,0.9,1039.4
0.4,0.1,1457.1
0.4,0.3,1413.3
0.4,0.4,1393.0
0.4,0.5,1381.3
0.4,0.6,1370.4
0.4,0.7,1359.8
0.4,0.9,1344.1
0.5,0.1,1782.7
0.5,0.3,1720.7
0.5,0.4,1693.7
0.5,0.5,1676.5
0.5,0.6,1665.6
0.5,0.7,1652.2
0.6,0.1,2081.5
0.6,0.3,2010.9
0.6,0.4,1982.8
0.6,0.5,1960.2
0.6,0.6,1948.9
0.6,0.7,1936.0
0.7,0.1,2368.3
0.7,0.3,2294.6
0.7,0.4,2263.7
0.7,0.5,2241.6
0.7,0.6,2230.4
0.9,0.1,2949.2
0.9,0.3,2884.5
0.9,0.4,2865.8
