solar,wind,system cost
0.1,0.1,265.7
0.1,0.3,269.3
0.1,0.4,274.0
0.1,0.5,281.0
0.1,0.6,290.3
0.1,0.7,301.2
0.1,0.9,325.9
0.3,0.1,270.7
0.3,0.3,276.3
0.3,0.4,282.5
0.3,0.5,290.9
0.3,0.6,301.5
0.3,0.7,313.4
0.3,0.9,339.9
0.4,0.1,280.2
0.4,0.3,287.1
0.4,0.4,293.7
0.4,0.5,302.8
0.4,0.6,313.4
0.4,0.7,325.4
0.4,0.9,352.5
0.5,0.1,292.2
0.5,0.3,299.5
0.5,0.4,306.4
0.5,0.5,315.6
0.5,0.6,326.4
0.5,0.7,338.4
0.6,0.1,304.7
0.6,0.3,312.9
0.6,0.4,320.1
0.6,0.5,328.5
0.6,0.6,339.3
0.6,0.7,351.4
0.7,0.1,317.8
0.7,0.3,326.4
0.7,0.4,333.2
0.7,0.5,341.7
0.7,0.6,352.5
0.9,0.1,344.7
0.9,0.3,352.5
0.9,0.4,359.7
