solar,wind,wind absolute curt
0.1,0.1,2436.9
0.1,0.3,82952842.2
0.1,0.4,147743094.9
0.1,0.5,322233015.1
0.1,0.6,541661355.3
0.1,0.7,820951487.2
0.1,0.9,1453634090.9
0.3,0.1,18616177.8
0.3,0.3,133294144.6
0.3,0.4,244065512.1
0.3,0.5,475172941.7
0.3,0.6,740971513.3
0.3,0.7,1056877976.8
0.3,0.9,1662939803.2
0.4,0.1,29947447.7
0.4,0.3,155586695.7
0.4,0.4,301444636.4
0.4,0.5,474741583.9
0.4,0.6,782497488.2
0.4,0.7,1126540377.5
0.4,0.9,1685169264.3
0.5,0.1,25948393.2
0.5,0.3,181406188.0
0.5,0.4,316264101.1
0.5,0.5,491299542.1
0.5,0.6,769612775.0
0.5,0.7,1134474057.0
0.6,0.1,37735908.6
0.6,0.3,149294390.4
0.6,0.4,263751465.0
0.6,0.5,513334429.8
0.6,0.6,799461054.8
0.6,0.7,1135157102.0
0.7,0.1,39753025.0
0.7,0.3,144053379.4
0.7,0.4,272476387.3
0.7,0.5,521120582.7
0.7,0.6,804178306.8
0.9,0.1,24928847.6
0.9,0.3,204350266.6
0.9,0.4,323232473.4
