solar,wind,wind cap
0.1,0.1,132.1
0.1,0.3,425.9
0.1,0.4,585.4
0.1,0.5,744.2
0.1,0.6,903.2
0.1,0.7,1051.1
0.1,0.9,1354.2
0.3,0.1,130.9
0.3,0.3,431.3
0.3,0.4,576.3
0.3,0.5,733.0
0.3,0.6,878.9
0.3,0.7,1023.2
0.3,0.9,1347.9
0.4,0.1,131.2
0.4,0.3,429.9
0.4,0.4,575.4
0.4,0.5,728.3
0.4,0.6,873.4
0.4,0.7,1011.8
0.4,0.9,1339.2
0.5,0.1,131.4
0.5,0.3,428.6
0.5,0.4,573.7
0.5,0.5,727.2
0.5,0.6,872.6
0.5,0.7,1010.0
0.6,0.1,131.1
0.6,0.3,427.8
0.6,0.4,575.1
0.6,0.5,726.7
0.6,0.6,872.1
0.6,0.7,1009.6
0.7,0.1,131.1
0.7,0.3,427.6
0.7,0.4,574.3
0.7,0.5,726.4
0.7,0.6,871.8
0.9,0.1,131.4
0.9,0.3,427.3
0.9,0.4,570.1
