solar,wind,wind capacity factor
0.1,0.1,23.4
0.1,0.3,23.7
0.1,0.4,23.2
0.1,0.5,22.9
0.1,0.6,22.1
0.1,0.7,21.3
0.1,0.9,20.2
0.3,0.1,23.1
0.3,0.3,22.8
0.3,0.4,21.6
0.3,0.5,21.3
0.3,0.6,20.5
0.3,0.7,19.9
0.3,0.9,19.0
0.4,0.1,22.6
0.4,0.3,22.1
0.4,0.4,21.4
0.4,0.5,21.0
0.4,0.6,20.4
0.4,0.7,19.9
0.4,0.9,18.9
0.5,0.1,22.2
0.5,0.3,22.3
0.5,0.4,21.6
0.5,0.5,20.3
0.5,0.6,20.0
0.5,0.7,19.7
0.6,0.1,22.3
0.6,0.3,21.6
0.6,0.4,21.3
0.6,0.5,20.9
0.6,0.6,20.3
0.6,0.7,19.8
0.7,0.1,22.1
0.7,0.3,21.5
0.7,0.4,20.9
0.7,0.5,20.6
0.7,0.6,20.1
0.9,0.1,21.9
0.9,0.3,21.9
0.9,0.4,21.2
