solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,28.0
0.1,0.4,36.5
0.1,0.5,42.4
0.1,0.6,47.2
0.1,0.7,50.6
0.1,0.9,55.7
0.3,0.1,9.6
0.3,0.3,26.9
0.3,0.4,34.2
0.3,0.5,38.8
0.3,0.6,42.5
0.3,0.7,45.0
0.3,0.9,50.7
0.4,0.1,9.3
0.4,0.3,26.3
0.4,0.4,32.9
0.4,0.5,38.8
0.4,0.6,41.5
0.4,0.7,43.4
0.4,0.9,50.2
0.5,0.1,9.4
0.5,0.3,25.7
0.5,0.4,32.5
0.5,0.5,38.4
0.5,0.6,41.8
0.5,0.7,43.2
0.6,0.1,9.1
0.6,0.3,26.5
0.6,0.4,33.8
0.6,0.5,37.9
0.6,0.6,41.1
0.6,0.7,43.2
0.7,0.1,9.1
0.7,0.3,26.6
0.7,0.4,33.6
0.7,0.5,37.7
0.7,0.6,41.0
0.9,0.1,9.4
0.9,0.3,25.2
0.9,0.4,32.4
