solar,wind,DK solar cap
0.1,0.1,2.1
0.1,0.3,2.6
0.1,0.4,2.2
0.1,0.5,1.1
0.1,0.6,0.5
0.1,0.7,0.4
0.1,0.9,0.7
0.3,0.1,5.8
0.3,0.3,7.4
0.3,0.4,7.4
0.3,0.5,6.6
0.3,0.6,5.5
0.3,0.7,5.5
0.3,0.9,5.4
0.4,0.1,7.8
0.4,0.3,9.4
0.4,0.4,10.7
0.4,0.5,9.5
0.4,0.6,6.7
0.4,0.7,6.8
0.4,0.9,6.5
0.5,0.1,8.8
0.5,0.3,10.3
0.5,0.4,11.7
0.5,0.5,10.7
0.5,0.6,7.6
0.5,0.7,7.6
0.6,0.1,9.1
0.6,0.3,11.1
0.6,0.4,12.4
0.6,0.5,11.1
0.6,0.6,8.2
0.6,0.7,8.2
0.7,0.1,9.1
0.7,0.3,11.6
0.7,0.4,12.7
0.7,0.5,11.1
0.7,0.6,8.9
0.9,0.1,9.5
0.9,0.3,12.3
0.9,0.4,13.3
