solar,wind,DK wind cap
0.1,0.1,17.6
0.1,0.3,24.1
0.1,0.4,26.6
0.1,0.5,31.5
0.1,0.6,32.5
0.1,0.7,35.1
0.1,0.9,46.5
0.3,0.1,15.5
0.3,0.3,17.1
0.3,0.4,18.5
0.3,0.5,23.1
0.3,0.6,29.1
0.3,0.7,33.5
0.3,0.9,45.4
0.4,0.1,15.3
0.4,0.3,16.9
0.4,0.4,18.3
0.4,0.5,23.1
0.4,0.6,29.1
0.4,0.7,33.4
0.4,0.9,45.1
0.5,0.1,15.3
0.5,0.3,16.9
0.5,0.4,18.4
0.5,0.5,23.3
0.5,0.6,29.0
0.5,0.7,33.5
0.6,0.1,15.4
0.6,0.3,16.9
0.6,0.4,18.3
0.6,0.5,23.3
0.6,0.6,29.0
0.6,0.7,33.5
0.7,0.1,15.4
0.7,0.3,16.9
0.7,0.4,18.3
0.7,0.5,23.4
0.7,0.6,29.0
0.9,0.1,15.4
0.9,0.3,16.9
0.9,0.4,18.3
