solar,wind,ES solar cap
0.1,0.1,57.5
0.1,0.3,42.2
0.1,0.4,42.0
0.1,0.5,42.0
0.1,0.6,40.7
0.1,0.7,37.9
0.1,0.9,38.1
0.3,0.1,102.0
0.3,0.3,101.0
0.3,0.4,97.6
0.3,0.5,89.1
0.3,0.6,84.8
0.3,0.7,80.4
0.3,0.9,87.8
0.4,0.1,163.7
0.4,0.3,154.3
0.4,0.4,157.2
0.4,0.5,161.5
0.4,0.6,165.0
0.4,0.7,173.4
0.4,0.9,202.8
0.5,0.1,260.1
0.5,0.3,263.1
0.5,0.4,294.6
0.5,0.5,313.3
0.5,0.6,329.9
0.5,0.7,341.7
0.6,0.1,451.5
0.6,0.3,487.5
0.6,0.4,539.3
0.6,0.5,556.7
0.6,0.6,576.2
0.6,0.7,580.0
0.7,0.1,667.4
0.7,0.3,699.7
0.7,0.4,809.2
0.7,0.5,812.5
0.7,0.6,811.2
0.9,0.1,1123.8
0.9,0.3,1126.3
0.9,0.4,1126.4
