solar,wind,VRE curt
0.1,0.1,0.0
0.1,0.3,3.7
0.1,0.4,5.2
0.1,0.5,10.2
0.1,0.6,15.6
0.1,0.7,20.0
0.1,0.9,28.6
0.3,0.1,9.4
0.3,0.3,9.3
0.3,0.4,11.9
0.3,0.5,16.2
0.3,0.6,20.0
0.3,0.7,23.7
0.3,0.9,30.2
0.4,0.1,19.8
0.4,0.3,17.9
0.4,0.4,20.0
0.4,0.5,23.3
0.4,0.6,26.5
0.4,0.7,29.7
0.4,0.9,35.3
0.5,0.1,29.1
0.5,0.3,25.4
0.5,0.4,27.0
0.5,0.5,29.8
0.5,0.6,32.6
0.5,0.7,35.5
0.6,0.1,36.5
0.6,0.3,31.2
0.6,0.4,32.3
0.6,0.5,34.8
0.6,0.6,37.3
0.6,0.7,40.0
0.7,0.1,42.2
0.7,0.3,35.5
0.7,0.4,36.3
0.7,0.5,38.6
0.7,0.6,40.9
0.9,0.1,50.2
0.9,0.3,41.7
0.9,0.4,42.0
