solar,wind,backup capacity factor low
0.1,0.1,2.52
0.1,0.3,1.95
0.1,0.4,1.92
0.1,0.5,1.9
0.1,0.6,1.9
0.1,0.7,1.85
0.1,0.9,1.77
0.3,0.1,2.23
0.3,0.3,2.1
0.3,0.4,2.06
0.3,0.5,1.94
0.3,0.6,1.88
0.3,0.7,1.82
0.3,0.9,1.78
0.4,0.1,2.18
0.4,0.3,2.09
0.4,0.4,2.04
0.4,0.5,1.93
0.4,0.6,1.87
0.4,0.7,1.82
0.4,0.9,1.77
0.5,0.1,2.16
0.5,0.3,2.08
0.5,0.4,2.03
0.5,0.5,1.92
0.5,0.6,1.86
0.5,0.7,1.8
0.6,0.1,2.15
0.6,0.3,2.07
0.6,0.4,2.02
0.6,0.5,1.91
0.6,0.6,1.85
0.6,0.7,1.8
0.7,0.1,2.13
0.7,0.3,2.06
0.7,0.4,2.01
0.7,0.5,1.91
0.7,0.6,1.85
0.9,0.1,2.12
0.9,0.3,2.05
0.9,0.4,2.01
