solar,wind,solar absolute curt
0.1,0.1,23185.7
0.1,0.3,346706.6
0.1,0.4,283166.6
0.1,0.5,193027.4
0.1,0.6,158931.1
0.1,0.7,182846.9
0.1,0.9,392788.1
0.3,0.1,147438462.8
0.3,0.3,123148349.5
0.3,0.4,122455232.3
0.3,0.5,123891609.7
0.3,0.6,122034448.3
0.3,0.7,120775972.7
0.3,0.9,117754678.5
0.4,0.1,417312141.4
0.4,0.3,397518348.4
0.4,0.4,388653819.8
0.4,0.5,380898828.9
0.4,0.6,376046918.8
0.4,0.7,371888681.3
0.4,0.9,362339385.1
0.5,0.1,764982160.0
0.5,0.3,750276358.8
0.5,0.4,740897870.3
0.5,0.5,733724052.9
0.5,0.6,728943418.8
0.5,0.7,724839124.4
0.6,0.1,1149456259.0
0.6,0.3,1140890682.8
0.6,0.4,1129619593.4
0.6,0.5,1124847928.3
0.6,0.6,1120849298.5
0.6,0.7,1116017581.9
0.7,0.1,1550751585.8
0.7,0.3,1546755411.3
0.7,0.4,1537241111.6
0.7,0.5,1533778791.5
0.7,0.6,1528220605.4
0.9,0.1,2376354686.3
0.9,0.3,2365801186.4
0.9,0.4,2357466968.3
