solar,wind,solar cap
0.1,0.1,646.3
0.1,0.3,659.1
0.1,0.4,548.4
0.1,0.5,483.2
0.1,0.6,410.7
0.1,0.7,380.2
0.1,0.9,379.5
0.3,0.1,1087.9
0.3,0.3,1154.5
0.3,0.4,1114.6
0.3,0.5,1116.9
0.3,0.6,1118.2
0.3,0.7,1119.6
0.3,0.9,1122.8
0.4,0.1,1421.8
0.4,0.3,1441.5
0.4,0.4,1449.9
0.4,0.5,1455.5
0.4,0.6,1458.6
0.4,0.7,1460.7
0.4,0.9,1466.2
0.5,0.1,1734.7
0.5,0.3,1751.6
0.5,0.4,1758.5
0.5,0.5,1764.1
0.5,0.6,1766.6
0.5,0.7,1768.9
0.6,0.1,2033.4
0.6,0.3,2046.3
0.6,0.4,2054.2
0.6,0.5,2058.3
0.6,0.6,2060.5
0.6,0.7,2063.3
0.7,0.1,2324.9
0.7,0.3,2334.4
0.7,0.4,2340.1
0.7,0.5,2343.6
0.7,0.6,2347.1
0.9,0.1,2895.7
0.9,0.3,2910.9
0.9,0.4,2917.7
