solar,wind,wind capacity factor
0.1,0.1,25.3
0.1,0.3,24.7
0.1,0.4,24.3
0.1,0.5,22.7
0.1,0.6,22.0
0.1,0.7,21.5
0.1,0.9,19.8
0.3,0.1,23.1
0.3,0.3,23.2
0.3,0.4,22.6
0.3,0.5,21.9
0.3,0.6,20.7
0.3,0.7,19.7
0.3,0.9,18.0
0.4,0.1,22.8
0.4,0.3,22.9
0.4,0.4,22.2
0.4,0.5,21.1
0.4,0.6,20.0
0.4,0.7,19.0
0.4,0.9,16.8
0.5,0.1,22.8
0.5,0.3,22.7
0.5,0.4,21.8
0.5,0.5,21.3
0.5,0.6,19.7
0.5,0.7,18.6
0.6,0.1,22.8
0.6,0.3,22.4
0.6,0.4,21.7
0.6,0.5,21.2
0.6,0.6,19.8
0.6,0.7,18.8
0.7,0.1,22.8
0.7,0.3,22.1
0.7,0.4,21.4
0.7,0.5,21.0
0.7,0.6,19.3
0.9,0.1,22.0
0.9,0.3,22.1
0.9,0.4,21.3
