solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,28.5
0.1,0.4,37.4
0.1,0.5,43.7
0.1,0.6,48.7
0.1,0.7,53.4
0.1,0.9,60.0
0.3,0.1,9.7
0.3,0.3,27.2
0.3,0.4,34.5
0.3,0.5,39.7
0.3,0.6,44.2
0.3,0.7,47.7
0.3,0.9,53.1
0.4,0.1,9.5
0.4,0.3,26.6
0.4,0.4,33.1
0.4,0.5,38.0
0.4,0.6,42.2
0.4,0.7,45.4
0.4,0.9,50.4
0.5,0.1,9.5
0.5,0.3,26.1
0.5,0.4,32.4
0.5,0.5,37.2
0.5,0.6,41.3
0.5,0.7,44.5
0.6,0.1,9.4
0.6,0.3,25.9
0.6,0.4,32.1
0.6,0.5,36.9
0.6,0.6,40.9
0.6,0.7,44.1
0.7,0.1,9.4
0.7,0.3,25.8
0.7,0.4,32.0
0.7,0.5,36.8
0.7,0.6,40.7
0.9,0.1,9.4
0.9,0.3,25.6
0.9,0.4,31.8
