,0
solar_curtailment_s0w0,0.0
solar_curtailment_s1w0,0.1
solar_curtailment_s2w0,0.3
solar_curtailment_s3w0,0.4
solar_curtailment_s4w0,0.5
solar_curtailment_s5w0,0.6
solar_curtailment_s6w0,0.7
solar_curtailment_s0w1,0.0
solar_curtailment_s1w1,0.1
solar_curtailment_s2w1,0.3
solar_curtailment_s3w1,0.4
solar_curtailment_s4w1,0.5
solar_curtailment_s5w1,0.6
solar_curtailment_s6w1,0.7
solar_curtailment_s0w2,0.0
solar_curtailment_s1w2,0.1
solar_curtailment_s2w2,0.3
solar_curtailment_s3w2,0.4
solar_curtailment_s4w2,0.5
solar_curtailment_s5w2,0.6
solar_curtailment_s6w2,0.7
solar_curtailment_s0w3,0.0
solar_curtailment_s1w3,0.1
solar_curtailment_s2w3,0.3
solar_curtailment_s3w3,0.4
solar_curtailment_s4w3,0.5
solar_curtailment_s5w3,0.6
solar_curtailment_s6w3,0.7
solar_curtailment_s0w4,0.0
solar_curtailment_s1w4,0.1
solar_curtailment_s2w4,0.3
solar_curtailment_s3w4,0.4
solar_curtailment_s4w4,0.5
solar_curtailment_s5w4,0.6
solar_curtailment_s0w5,0.0
solar_curtailment_s1w5,0.1
solar_curtailment_s2w5,0.3
solar_curtailment_s3w5,0.4
solar_curtailment_s4w5,0.5
solar_curtailment_s5w5,0.6
solar_curtailment_s0w6,0.0
solar_curtailment_s1w6,0.1
solar_curtailment_s2w6,0.3
solar_curtailment_s3w6,0.4
solar_curtailment_s4w6,0.5
