,0
wind_curtailment_w0s0,0.0
wind_curtailment_w1s0,0.1
wind_curtailment_w2s0,0.3
wind_curtailment_w3s0,0.4
wind_curtailment_w4s0,0.5
wind_curtailment_w5s0,0.6
wind_curtailment_w6s0,0.7
wind_curtailment_w0s1,0.0
wind_curtailment_w1s1,0.1
wind_curtailment_w2s1,0.3
wind_curtailment_w3s1,0.4
wind_curtailment_w4s1,0.5
wind_curtailment_w5s1,0.6
wind_curtailment_w6s1,0.7
wind_curtailment_w0s2,0.0
wind_curtailment_w1s2,0.1
wind_curtailment_w2s2,0.3
wind_curtailment_w3s2,0.4
wind_curtailment_w4s2,0.5
wind_curtailment_w5s2,0.6
wind_curtailment_w6s2,0.7
wind_curtailment_w0s3,0.0
wind_curtailment_w1s3,0.1
wind_curtailment_w2s3,0.3
wind_curtailment_w3s3,0.4
wind_curtailment_w4s3,0.5
wind_curtailment_w5s3,0.6
wind_curtailment_w6s3,0.7
wind_curtailment_w0s4,0.0
wind_curtailment_w1s4,0.1
wind_curtailment_w2s4,0.3
wind_curtailment_w3s4,0.4
wind_curtailment_w4s4,0.5
wind_curtailment_w5s4,0.6
wind_curtailment_w0s5,0.0
wind_curtailment_w1s5,0.1
wind_curtailment_w2s5,0.3
wind_curtailment_w3s5,0.4
wind_curtailment_w4s5,0.5
wind_curtailment_w5s5,0.6
wind_curtailment_w0s6,0.0
wind_curtailment_w1s6,0.1
wind_curtailment_w2s6,0.3
wind_curtailment_w3s6,0.4
wind_curtailment_w4s6,0.5
