,0
solar_curtailment_s0w0,0.0
solar_curtailment_s1w0,-0.0443934115864938
solar_curtailment_s2w0,-0.0013369470241459927
solar_curtailment_s3w0,-0.03779790995251268
solar_curtailment_s4w0,-0.21923119078082284
solar_curtailment_s5w0,-0.21428240605124207
solar_curtailment_s6w0,-0.31093395125027146
solar_curtailment_s0w1,7.170673537677454e-06
solar_curtailment_s1w1,-0.040721353314094086
solar_curtailment_s2w1,-0.07424914552703732
solar_curtailment_s3w1,-0.06654355573083219
solar_curtailment_s4w1,-0.11228256207997585
solar_curtailment_s5w1,-0.18962668430918464
solar_curtailment_s6w1,-0.35013827949117843
solar_curtailment_s0w2,-4.017680576350262e-05
solar_curtailment_s1w2,-0.026350042680884995
solar_curtailment_s2w2,-0.08416579132352937
solar_curtailment_s3w2,-0.13117215690055073
solar_curtailment_s4w2,-0.12903756116872037
solar_curtailment_s5w2,-0.13891857342776634
solar_curtailment_s6w2,-0.2176971956367648
solar_curtailment_s0w3,-7.3482761622889e-05
solar_curtailment_s1w3,-0.048625404177413095
solar_curtailment_s2w3,-0.09222245664265515
solar_curtailment_s3w3,-0.11079173250370825
solar_curtailment_s4w3,-0.1403886811658372
solar_curtailment_s5w3,-0.07961127639709582
solar_curtailment_s0w4,-0.00018008215439013994
solar_curtailment_s1w4,-0.047005984870384966
solar_curtailment_s2w4,-0.11343770192315782
solar_curtailment_s3w4,-0.12134658567568117
solar_curtailment_s4w4,-0.052230998678768945
solar_curtailment_s5w4,0.22043657364486122
solar_curtailment_s0w5,-5.221878187348652e-05
solar_curtailment_s1w5,-0.05311464896388466
solar_curtailment_s2w5,-0.07875486248291225
solar_curtailment_s3w5,0.0020894498098212168
solar_curtailment_s4w5,0.22627739117479775
solar_curtailment_s0w6,-0.0001483887263475372
solar_curtailment_s1w6,-0.039277074823238174
solar_curtailment_s2w6,0.06147543694844773
