,0
solar_curtailment_s0w0,0.0
solar_curtailment_s1w0,-0.2908328138323258
solar_curtailment_s2w0,-0.5096988584552465
solar_curtailment_s3w0,-0.7191890220212594
solar_curtailment_s4w0,-0.8732452277949271
solar_curtailment_s5w0,-0.9566724135629523
solar_curtailment_s6w0,-1.0329739402846625
solar_curtailment_s0w1,-0.0005140527130918539
solar_curtailment_s1w1,-0.320053997515194
solar_curtailment_s2w1,-0.5696852569605324
solar_curtailment_s3w1,-0.7515295361662166
solar_curtailment_s4w1,-0.8811848077588235
solar_curtailment_s5w1,-0.9694244255569329
solar_curtailment_s6w1,-1.061241830821753
solar_curtailment_s0w2,-0.0005987242167493896
solar_curtailment_s1w2,-0.30993209928332793
solar_curtailment_s2w2,-0.5692310729836303
solar_curtailment_s3w2,-0.7675684915317852
solar_curtailment_s4w2,-0.9039136213075745
solar_curtailment_s5w2,-0.9952994996996426
solar_curtailment_s6w2,-1.1005082641154122
solar_curtailment_s0w3,-0.0012361277761250653
solar_curtailment_s1w3,-0.29912508085445566
solar_curtailment_s2w3,-0.573643424832342
solar_curtailment_s3w3,-0.7838988623476733
solar_curtailment_s4w3,-0.9295001512731182
solar_curtailment_s5w3,-1.034899869980614
solar_curtailment_s0w4,-0.0012397392477785777
solar_curtailment_s1w4,-0.29118040327132666
solar_curtailment_s2w4,-0.5816092507080989
solar_curtailment_s3w4,-0.8071614649744907
solar_curtailment_s4w4,-0.9596811512954909
solar_curtailment_s5w4,-1.0664648810581692
solar_curtailment_s0w5,-0.002206986528664534
solar_curtailment_s1w5,-0.27731992479787215
solar_curtailment_s2w5,-0.5975804945647406
solar_curtailment_s3w5,-0.828242120952577
solar_curtailment_s4w5,-0.9711025010416207
solar_curtailment_s0w6,-0.004687280317108817
solar_curtailment_s1w6,-0.2574871344819252
solar_curtailment_s2w6,-0.6079428170164718
