,0
wind_curtailment_w0s0,0.0
wind_curtailment_w1s0,
wind_curtailment_w2s0,
wind_curtailment_w3s0,
wind_curtailment_w4s0,
wind_curtailment_w5s0,
wind_curtailment_w6s0,
wind_curtailment_w0s1,
wind_curtailment_w1s1,
wind_curtailment_w2s1,
wind_curtailment_w3s1,
wind_curtailment_w4s1,
wind_curtailment_w5s1,
wind_curtailment_w6s1,
wind_curtailment_w0s2,
wind_curtailment_w1s2,
wind_curtailment_w2s2,
wind_curtailment_w3s2,
wind_curtailment_w4s2,
wind_curtailment_w5s2,
wind_curtailment_w6s2,
wind_curtailment_w0s3,
wind_curtailment_w1s3,
wind_curtailment_w2s3,
wind_curtailment_w3s3,
wind_curtailment_w4s3,
wind_curtailment_w5s3,
wind_curtailment_w0s4,
wind_curtailment_w1s4,
wind_curtailment_w2s4,
wind_curtailment_w3s4,
wind_curtailment_w4s4,
wind_curtailment_w5s4,
wind_curtailment_w0s5,
wind_curtailment_w1s5,
wind_curtailment_w2s5,
wind_curtailment_w3s5,
wind_curtailment_w4s5,
wind_curtailment_w0s6,
wind_curtailment_w1s6,
wind_curtailment_w2s6,
