,,0
10,10,0
10,20,1.0509503233063533
10,30,1.724876676656202
10,40,2.4887971425480195
10,50,4.520981763670083
10,60,11.87319753890252
10,70,16.17625207664277
10,80,22.250304929734583
10,90,26.974568259917103
20,10,0
20,20,0
20,30,1.7248890694023415
20,40,4.437076663902987
20,50,9.275118101604654
20,60,15.356831863207928
20,70,21.196498126262533
20,80,26.643020223151876
20,90,31.568192117610355
30,10,0
30,20,0.2764177796064132
30,30,5.438411958061593
30,40,9.629955872084464
30,50,15.307657806493022
30,60,21.451698718592958
30,70,27.85001929174353
30,80,32.464851242947745
30,90,37.43214106541789
40,10,0
40,20,1.628869574913663
40,30,8.666263825979046
40,40,12.923360646394574
40,50,18.89252257450503
40,60,24.672978622708523
40,70,29.625809625621542
40,80,34.018667785091004
40,90,38.99940552597878
50,10,1.6315521621820575
50,20,2.631850371117885
50,30,10.424340650519817
50,40,14.615141608870172
50,50,20.479451070750294
50,60,26.249587881324416
50,70,30.151692199356873
50,80,34.478815037109435
50,90,
60,10,3.136070945733564
60,20,3.384109762893639
60,30,11.331933885862453
60,40,15.681003643269694
60,50,21.460158587147085
60,60,26.41994545848284
60,70,30.33935587894035
60,80,
60,90,
70,10,5.077866996045542
70,20,4.355007788049628
70,30,12.473957101022288
70,40,15.834848039467827
70,50,21.552019475994364
70,60,26.525485865773963
70,70,
70,80,
70,90,
80,10,5.161357423707752
80,20,4.3967530018807315
80,30,12.67813464670066
80,40,16.045611592100677
80,50,21.6894156899894
80,60,
80,70,
80,80,
80,90,
90,10,5.244847851369959
90,20,4.438498215711836
90,30,12.882312192379025
90,40,16.25637514473352
90,50,
90,60,
90,70,
90,80,
90,90,
